2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv4-unicast/ipv4-unicast/advertise-ipv6-next-hops true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv4-unicast/ipv4-unicast/receive-ipv6-next-hops true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv6-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/description "Connected to ethernet-1/4 on peer spine1 via intf ethernet-1/49"
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/peer-as 101
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/afi-safi/evpn/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/afi-safi/ipv4-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/local-as/as-number 104
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.5/transport/local-address 12.0.0.4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/description "Connected to ethernet-1/4 on peer spine2 via intf ethernet-1/50"
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/peer-as 101
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/afi-safi/evpn/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/afi-safi/ipv4-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/local-as/as-number 104
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf4 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.11/transport/local-address 12.0.0.10
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/1/subinterface/0/ipv6/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +interface/ethernet-1/1/subinterface/0/ipv4/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/1/subinterface/0/ipv6/router-advertisement/router-role/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/1/subinterface/0/ipv6/router-advertisement/router-role/max-advertisement-interval 10
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/1/subinterface/0/ipv6/router-advertisement/router-role/min-advertisement-interval 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/2/subinterface/0/ipv6/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +interface/ethernet-1/2/subinterface/0/ipv4/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/2/subinterface/0/ipv6/router-advertisement/router-role/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/2/subinterface/0/ipv6/router-advertisement/router-role/max-advertisement-interval 10
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/2/subinterface/0/ipv6/router-advertisement/router-role/min-advertisement-interval 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/3/subinterface/0/ipv6/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +interface/ethernet-1/3/subinterface/0/ipv4/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/3/subinterface/0/ipv6/router-advertisement/router-role/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/3/subinterface/0/ipv6/router-advertisement/router-role/max-advertisement-interval 10
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/3/subinterface/0/ipv6/router-advertisement/router-role/min-advertisement-interval 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/4/subinterface/0/ipv6/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +interface/ethernet-1/4/subinterface/0/ipv4/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/4/subinterface/0/ipv6/router-advertisement/router-role/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/4/subinterface/0/ipv6/router-advertisement/router-role/max-advertisement-interval 10
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -interface/ethernet-1/4/subinterface/0/ipv6/router-advertisement/router-role/min-advertisement-interval 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/1.0/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/1.0/allowed-peer-as [100]
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/2.0/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/2.0/allowed-peer-as [102]
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/3.0/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/3.0/allowed-peer-as [103]
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/4.0/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/4.0/allowed-peer-as [104]
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/multipath/allow-multiple-as true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/multipath/ebgp/maximum-paths 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/multipath/ibgp/maximum-paths 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/evpn/rapid-update true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv4-unicast/ipv4-unicast/advertise-ipv6-next-hops true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv4-unicast/ipv4-unicast/receive-ipv6-next-hops true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv6-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/description "Connected to ethernet-1/49 on peer leaf3 via intf ethernet-1/3"
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/peer-as 103
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/afi-safi/evpn/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/afi-safi/ipv4-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/local-as/as-number 101
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.0/transport/local-address 12.0.0.1
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/description "Connected to ethernet-1/49 on peer leaf4 via intf ethernet-1/4"
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/peer-as 104
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , spine1 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.4/afi-safi/evpn/admin-state enable
